code,name,sector,theme,sector_theme,source,source_url,asof_kst
104700,한국철강,1차 철강 제조업,철근,1차 철강 제조업 / 철근,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
104830,원익머트리얼즈,기초 화학물질 제조업,저메인가스·디실란·아산화질소,기초 화학물질 제조업 / 저메인가스·디실란·아산화질소,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105330,케이엔더블유,자동차 신품 부품 제조업,Blanket·DOF·보호필름,자동차 신품 부품 제조업 / Blanket·DOF·보호필름,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105550,엣지파운드리,전자부품 제조업,자동차용 센서(APS·TPS·IAPS,전자부품 제조업 / 자동차용 센서(APS·TPS·IAPS,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105560,KB금융,기타 금융업,,기타 금융업,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105630,한세실업,봉제의복 제조업,의류 완제품,봉제의복 제조업 / 의류 완제품,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105740,디케이락,일반 목적용 기계 제조업,계장용 피팅 및 밸브,일반 목적용 기계 제조업 / 계장용 피팅 및 밸브,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105760,포스뱅크,일반 목적용 기계 제조업,POS 단말기·KIOSK 단말기,일반 목적용 기계 제조업 / POS 단말기·KIOSK 단말기,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 / 원전용계측기",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
106080,케이이엠텍,전자부품 제조업,IR필터 및 이차전지 부품(Can·Cap Ass'y),전자부품 제조업 / IR필터 및 이차전지 부품(Can·Cap Ass'y),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
106190,하이텍팜,기초 의약물질 제조업,주사제용 무균 원료의약품(Sterile Imipenem 외),기초 의약물질 제조업 / 주사제용 무균 원료의약품(Sterile Imipenem 외),KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
106240,파인테크닉스,전구 및 조명장치 제조업,LED조명기기,전구 및 조명장치 제조업 / LED조명기기,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
107590,미원홀딩스,기타 금융업,도료첨가제,기타 금융업 / 도료첨가제,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
107600,새빗켐,기타 화학제품 제조업,폐전지재활용소재·폐산재활용,기타 화학제품 제조업 / 폐전지재활용소재·폐산재활용,KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
107640,한중엔시에스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수냉식 냉각시스템 ESS Parts·공랭식 ESS Module Parts·EV Module 및…,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 / 수냉식 냉각시스템 ESS Parts·공랭식 ESS Module Parts·EV Module 및…",KRX_KIND_LISTED_COMPANY,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,2026-07-18T19:41:51+09:00
