basis_date,market,ticker,name,long_history_rows,metric_input_rows,metric_status,official_close,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_value,ma5_direction,ma20_value,ma20_direction,ma60_value,ma60_direction,ma120_value,ma120_direction,return_1m_pct,return_3m_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,atr14_krw,atr14_pct,avg_daily_range_20_pct,mean_run_days,up_run_days,down_run_days,streak_direction,streak_days,streak_change_pct,ma20_reference_only,confirmed_swing_low_stop,rsi,macd,return_1w,return_6m,return_ytd,return_52w,rs_sector,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,001020,페이퍼코리아,260,143,OK,2240.0,TOP_DECLINE,고점후하락,2026-07-29,2026-09-02,29.2556,-16.2617,-8.9431,2415.0,-1,2349.4,1,2125.9,1,1587.0417,1,14.4025,-1.1038,5.5084,9.8963,,,7.8747,2.608695652173913,2.5454545454545454,2.6666666666666665,-1,4,-12.6706,2349.4,,,,,,,,,,
2026-09-11,KOSPI,001045,CJ우,260,143,OK,67900.0,NEW_LOW,최근 신저점,2026-07-20,2026-08-06,5.5988,-11.3577,-1.4514,68840.0,1,69640.0,-1,69151.6667,-1,76869.1667,-1,-7.9946,-6.9863,-16.8887,4.0138,1998.4018,2.9432,2.5876,1.935483870967742,1.5333333333333334,2.3125,-1,4,-2.1614,69640.0,,,,,,,,,,
2026-09-11,KOSPI,001060,JW중외제약,260,143,OK,26600.0,TOP_DECLINE,고점후하락,2026-07-29,2026-08-12,20.9091,-11.3333,-3.2727,26920.0,-1,27362.5,-1,25698.3333,-1,27667.5,-1,1.3333,0.3774,-7.5608,11.3775,1148.0934,4.3161,3.8535,1.7142857142857142,1.6470588235294117,1.7777777777777777,-1,5,-3.2727,27362.5,,,,,,,,,,
2026-09-11,KOSPI,001200,유진투자증권,260,143,OK,4355.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-29,2026-06-17,17.5439,-11.0317,0.0,4329.0,-1,4343.75,-1,4290.5,-1,4702.5417,-1,-1.9144,-0.9101,-10.8085,10.09,157.1842,3.6093,3.1461,1.5384615384615385,1.368421052631579,1.7,-1,1,-0.7973,4343.75,,,,,,,,,,
2026-09-11,KOSPI,001210,금호전기,260,143,OK,12450.0,UPTREND,상승중,2026-06-23,2026-09-02,2488.3576,-6.391,2.3007,12292.0,-1,10211.5,1,4540.05,1,2655.7,1,205.1471,2425.355,196.253,2436.3551,,,15.6343,3.3333333333333335,2.7777777777777777,3.888888888888889,1,1,4.1841,10211.5,,,,,,,,,,
2026-09-11,KOSPI,001290,상상인증권,260,143,OK,4300.0,UPTREND,상승중,2026-07-29,2026-09-09,632.5383,-4.4444,325.7426,3008.0,1,1504.05,1,1033.1833,1,1083.1667,1,294.4954,381.523,285.6013,392.5231,,,,2.727272727272727,3.090909090909091,2.3636363636363638,1,1,1.8957,1504.05,,,,,,,,,,
2026-09-11,KOSPI,001420,태원물산,260,143,OK,2880.0,BOTTOM_REBOUND,저점반등,2026-08-14,2026-07-09,43.2836,-7.2464,3.2258,2879.0,1,2533.0,1,2647.9167,1,2730.0,1,3.2258,26.8722,-5.6683,37.8723,,,11.0434,2.3076923076923075,2.6923076923076925,1.9230769230769231,-1,2,-1.7065,2533.0,,,,,,,,,,
2026-09-11,KOSPI,001440,대한전선,260,143,OK,29500.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-17,41.8269,-28.3111,7.6642,29540.0,1,28560.0,1,29362.5,-1,36400.4167,0,4.2403,-20.1624,-4.6538,-9.1623,1819.2039,6.1668,5.1796,2.4,2,2.769230769230769,-1,2,-5.1447,28560.0,,,,,,,,,,
2026-09-11,KOSPI,001527,동양2우B,260,143,OK,5750.0,NEW_LOW,최근 신저점,2026-06-30,2026-07-23,25.8206,-29.4479,-4.6434,5864.0,-1,6327.5,-1,6274.3333,-1,6849.0,-1,-13.142,-19.0141,-22.0361,-8.014,,,,2.0689655172413794,2,2.1333333333333333,-1,3,-2.7073,6327.5,,,,,,,,,,
2026-09-11,KOSPI,001530,DI동일,260,143,OK,26450.0,UPTREND_PULLBACK,상승중 눌림,2026-06-26,2026-09-07,29.3399,-6.5371,-4.1667,27500.0,-1,26212.5,1,24245.0,1,24680.8333,1,6.4386,17.8174,-2.4555,28.8175,1508.6091,5.7036,5.7464,1.7142857142857142,1.7647058823529411,1.6666666666666667,-1,4,-6.5371,26212.5,,,,,,,,,,
2026-09-11,KOSPI,001560,제일연마,260,143,OK,8990.0,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-07-21,2026-06-15,8.0529,-12.2927,-3.125,9210.0,1,9153.0,1,8890.5,-1,9861.4167,-1,1.1249,-8.2653,-7.7692,2.7348,241.1323,2.6822,2.8135,2.0689655172413794,2.2142857142857144,1.9333333333333333,-1,3,-3.953,9153.0,,,,,,,,,,
2026-09-11,KOSPI,001770,SHD,260,143,OK,9250.0,NEW_LOW,최근 신저점,2026-07-31,2026-08-19,84.2629,-43.6319,-41.5666,12076.0,-1,12628.0,1,8752.0,-1,12300.1667,-1,29.1899,-30.3988,20.2958,-19.3987,,,17.0141,2.4,2.0833333333333335,2.6923076923076925,-1,5,-41.5666,12628.0,,,,,,,,,,
2026-09-11,KOSPI,001820,삼화콘덴서,260,143,OK,137400.0,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-18,137.7163,-27.7223,25.1366,119560.0,1,107775.0,1,105206.6667,-1,92898.3333,1,62.6036,3.0758,53.7095,14.0759,12011.753,8.7422,9.6163,2.4,2.3076923076923075,2.5,1,1,18.7554,107775.0,,,,,,,,,,
2026-09-11,KOSPI,002210,동성제약,260,143,OK,1409.0,NEW_LOW,최근 신저점,2026-07-29,2026-07-31,44.8099,-23.6728,-1.1228,1449.2,1,1497.4,-1,1274.3167,1,1123.6583,1,-13.7699,44.8099,-22.664,55.81,,,5.0413,2.5833333333333335,2.1666666666666665,3,-1,3,-5.2455,1497.4,,,,,,,,,,
2026-09-11,KOSPI,002380,KCC,260,143,OK,485500.0,BOTTOM_REBOUND,저점반등,2026-07-29,2026-06-16,37.7305,-13.3036,0.7261,496400.0,1,476650.0,1,455958.3333,-1,496262.5,-1,7.8889,-1.0194,-1.0052,9.9807,21758.8828,4.4817,4.3603,2.0689655172413794,2,2.1333333333333333,-1,2,-3.4791,476650.0,,,,,,,,,,
2026-09-11,KOSPI,002420,우양피앤엘,260,143,OK,5490.0,NEW_LOW,최근 신저점,2026-06-23,2026-08-10,10.4628,-10.2941,-5.0173,5736.0,-1,5768.0,-1,5466.3333,1,5523.2083,0,-8.6522,-1.0811,-17.5463,9.919,295.5139,5.3828,4.3029,2,2,2,-1,3,-7.1066,5768.0,,,,,,,,,,
