ticker,name,market,sector_theme,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,roe_annualized_pct,debt_ratio_pct,per_annualized,pbr,earnings_trend,q2_revenue_yoy_pct,q2_operating_profit_yoy_pct,q2_net_income_yoy_pct,operating_cash_flow_annual,return_1m_pct,return_3m_pct,position_3m_pct,atr14_pct,avg20_trading_value_krw,volume_vs_20d,elasticity_20d_pct,supply_level,swing_phase
004870,티웨이홀딩스,KOSPI,,-30.67,73.1,-13.23,-28.23,-111.39,24.47,,0.42,적자지속,-44.9,67.37,117.47,-4018983852.0,-13.5449,318.3521,,,75509168.0,0.6711,1.0553,위험,NEW_LOW
004910,조광페인트,KOSPI,,3.02,-18.33,-69.67,-8.59,-7.35,112.99,,0.22,적자지속,10.69,38.03,47.72,3541491893.0,-6.9737,1.0,50.8197,3.3039,32551784.0,0.2591,1.3795,위험,SIDEWAYS_OR_UNCONFIRMED
005385,현대차우,KOSPI,,,,,,,,,,,,,,-5991270000000.0,-7.9413,-22.3881,13.2139,3.5285,12662571719.0,0.7524,1.8931,없음,SIDEWAYS_OR_UNCONFIRMED
005387,현대차2우B,KOSPI,,,,,,,,,,,,,,-5991270000000.0,-9.4784,-23.3546,11.6985,3.4586,20544544305.0,0.6989,1.8651,없음,SIDEWAYS_OR_UNCONFIRMED
005389,현대차3우B,KOSPI,,,,,,,,,,,,,,-5991270000000.0,-7.7996,-20.3125,12.516,2.8693,1604347008.0,0.6875,1.4721,없음,SIDEWAYS_OR_UNCONFIRMED
005490,POSCO홀딩스,KOSPI,1차 철강 제조업 / 열연코일·냉연강판·후판,6.12,29.79,204.78,4.11,4.07,70.99,9.85,0.4,흑자지속,9.7,34.89,807.99,4571910292218.0,2.2971,-6.7039,47.9675,3.8664,83578390825.0,0.6596,1.9877,위험,UPTREND_PULLBACK
005500,삼진제약,KOSPI,,1.54,-16.02,-10.82,7.27,5.02,59.61,16.39,0.82,흑자지속,6.73,-10.07,30.34,24111431141.0,-1.3376,-2.3822,55.1929,2.3593,579779327.0,0.5527,1.1179,경계,UPTREND_PULLBACK
005820,원림,KOSPI,,4.34,26.36,77.65,4.68,3.82,20.95,5.28,0.2,흑자지속,9.85,2144.23,372.75,4843332880.0,-2.814,4.1176,46.1988,3.7108,43144136.0,1.3382,1.1533,주의,NEW_LOW
005830,DB손해보험,KOSPI,보험업 / 자동차보험·화재보험·해상보험,6.04,11.89,3.02,138.81,15.9,481.21,5.64,0.9,흑자지속,,47.01,34.43,-282418000000.0,16.535,36.9286,79.9014,4.8966,46976852220.0,1.2138,2.7217,주의,UPTREND
005930,삼성전자,KOSPI,통신 및 방송 장비 제조업 / 통신 및 방송 장비 제조(무선) 제품·반도체 제조(메모리) 제품·전자부품 제조(디스플레이) 제품,98.67,1191.44,790.97,48.05,41.03,31.1,6.6,2.71,흑자지속,130.0,1813.84,1299.89,85315148000000.0,8.3507,-13.2107,37.9385,5.5914,5254155915724.0,0.6992,2.9456,위험,BOTTOM_REBOUND
006370,대구백화점,KOSPI,,-8.98,-21.26,-3.03,-31.54,-25.86,239.51,,0.28,적자지속,,-55.77,-22.88,-26778767022.0,-31.1828,-35.6784,3.0303,10.7812,634381870.0,0.4973,4.6388,위험,NEW_LOW
006380,카프로,KOSPI,,37.46,66.7,50.84,-18.69,-29.97,267.08,,0.3,적자지속,2.54,-101.59,70.02,-28030501575.0,-96.7213,-96.7213,,,161804245.0,2.8689,6.7097,위험,NEW_LOW
006650,대한유화,KOSPI,,13.53,581.57,507.06,3.86,6.18,35.58,5.05,0.31,흑자전환,12.93,15.64,-118.63,202790622580.0,13.6819,-15.4673,35.0689,6.5609,4711868748.0,1.3107,3.666,경계,BOTTOM_REBOUND
