ticker,name,market,missing_component_count,blocker_reason,blocker_category,source_group,single_blocker_ticker,recovery_status
091810,트리니티항공,KOSPI,10,영업현금흐름:MISSING_OCF_MARGIN_INPUT,SOURCE_DATA_GAP,OCF_AND_REVENUE_SOURCE,FALSE,MULTI_BLOCKER_SOURCE_LANE
091810,트리니티항공,KOSPI,10,최근 3년 매출 성장률:MISSING_3Y_REVENUE,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
091810,트리니티항공,KOSPI,10,최근 3년 영업이익 성장률:MISSING_3Y_OP,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
091810,트리니티항공,KOSPI,10,최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,PBR:MISSING_PBR_OR_ROE,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,PER:MISSING_PER,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,ROE:MISSING_ROE,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT,SOURCE_DATA_GAP,INVESTMENT_SCORE_SOURCE_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,순이익 흐름:MISSING_EARNINGS_TREND,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,영업이익 성장과 흑자 여부:MISSING_OP_PROFIT,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
004990,롯데지주,KOSPI,12,영업이익률:MISSING_MARGIN,SOURCE_DATA_GAP,FINANCIAL_VALUATION_CACHE,FALSE,MULTI_BLOCKER_SOURCE_LANE
