ticker,name,market,corp_code,corp_name,corp_code_source,corp_identity_status,corp_identity_reason,corp_candidate_count,corp_selection_method,financial_data_status,financial_source_status,financial_basis,financial_report_year,financial_report_code,financial_report_name,financial_fs_div,financial_currency,revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity,previous_revenue,previous_operating_profit,previous_net_income,revenue_yoy_pct,operating_profit_yoy_pct,net_income_yoy_pct,operating_margin_pct,debt_ratio_pct,roe_annualized_pct,earnings_trend,market_cap,listed_shares,valuation_price_basis_date,eps_annualized,bps,per_annualized,pbr,valuation_data_status,valuation_basis,financial_missing_fields,target_period_key,fetched_at_kst
002100,경농,KOSPI,00101433,경농,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,275418688566.0,45875875746.0,34494632203.0,551191271152.0,237997787422.0,313193483730.0,251000073996.0,48088977458.0,37879971045.0,9.73,-4.6,-8.94,16.66,75.99,22.03,흑자지속,175117497750.0,19522575.0,2026-09-22,3533.82,16042.63,2.54,0.56,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:44+09:00
002140,고려산업,KOSPI,00102751,고려산업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,154679981018.0,7271689688.0,3409794323.0,294511339955.0,174709579840.0,119801760115.0,152096947208.0,7324864182.0,5536876577.0,1.7,-0.73,-38.42,4.7,145.83,5.69,흑자지속,48133090250.0,24939425.0,2026-09-22,273.45,4803.71,7.06,0.4,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:44+09:00
002780,진흥기업,KOSPI,00150828,진흥기업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,403859681653.0,11605004778.0,10169668167.0,557304698552.0,306170081572.0,251134616980.0,232129823563.0,1426515887.0,-5641568195.0,73.98,713.52,280.26,2.87,121.91,8.1,흑자전환,98193424500.0,14547174.0,2026-09-22,1398.16,17263.46,4.83,0.39,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:44+09:00
002787,진흥기업2우B,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:43+09:00
003780,진양산업,KOSPI,00150439,진양산업,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,45895983872.0,3340315307.0,2623235370.0,110873863608.0,44707293325.0,66166570283.0,46806066199.0,4745226145.0,3783705976.0,-1.94,-29.61,-30.67,7.28,67.57,7.93,흑자지속,55250000000.0,13000000.0,2026-09-22,403.57,5089.74,10.53,0.84,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:44+09:00
003830,대한화섬,KOSPI,00113544,대한화섬,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,54230588755.0,-1787063612.0,13093588580.0,857773284794.0,129325310571.0,728447974223.0,55803142597.0,-807508296.0,7156451823.0,-2.82,-121.31,82.96,-3.3,17.75,3.59,흑자지속,148337600000.0,1328000.0,2026-09-22,19719.26,548530.1,5.66,0.2,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:45+09:00
003960,사조대림,KOSPI,00109718,사조대림,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,1765533694707.0,44216741228.0,-96774188883.0,2181029235694.0,1492891468275.0,688137767419.0,1714184159639.0,46877743038.0,30734102815.0,3.0,-5.68,-414.88,2.5,216.95,-28.13,적자전환,243774822200.0,9164467.0,2026-09-22,-21119.44,75087.59,,0.35,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:45+09:00
004255,NPC우,KOSPI,,,,NO_CORP_CODE,OpenDART 기업코드 후보 없음,0,,LIMITED,NO_CORP_CODE,,,,,,KRW,,,,,,,,,,,,,,,,,,,,,,,,LIMITED_NO_FINANCIAL_DATA,,"revenue,operating_profit,net_income,total_assets,total_liabilities,total_equity",2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:44+09:00
004560,현대비앤지스틸,KOSPI,00125743,현대비앤지스틸,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,CFS,KRW,402523155991.0,17917638060.0,9652839358.0,748962060645.0,219888940701.0,529073119944.0,375962019642.0,12281518301.0,5120353166.0,7.06,45.89,88.52,4.45,41.56,3.65,흑자지속,188635925610.0,15078811.0,2026-09-22,1280.32,35087.19,9.77,0.36,READY,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:45+09:00
004720,팜젠사이언스,KOSPI,00135050,팜젠사이언스,OPENDART_OFFICIAL_DOWNLOAD,MATCH,동일 종목코드 후보 중 KRX 종목명과 회사명 완전일치,1,NAME_EXACT,READY,OK,2026 반기보고서,2026,11012,반기보고서,OFS,KRW,91039842317.0,3566202246.0,-14570912517.0,184191900655.0,44152424020.0,140039476635.0,88751494561.0,5365773791.0,3150984760.0,2.58,-33.54,-562.42,3.92,31.53,-20.81,적자전환,63772037475.0,22654365.0,2026-09-22,-1286.37,6181.57,,0.46,PARTIAL_LOSS_PER_NA,KRX 시가총액·상장주식수 / OpenDART 반기보고서 / 누적순이익 × 2 연환산,,2026_11012_corp-candidate-name-match-v2,2026-09-23T15:11:45+09:00
