basis_date,market,ticker,name,status,benchmark_ticker,benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,missing_reason
2026-09-11,KOSPI,402340,SK스퀘어,READY,1021,금융,9.2866,-9.8232,
2026-09-11,KOSPI,403550,쏘카,READY,1026,일반서비스,-12.6016,-8.2469,
2026-09-11,KOSDAQ,439960,코스모로보틱스,NOT_SUPPORTED_CURRENT_CONTRACT,,,,,CURRENT_OFFICIAL_SECTOR_RS_CONTRACT_IS_KOSPI_ONLY
2026-09-11,KOSPI,443060,HD현대마린솔루션,READY,1026,일반서비스,16.2651,-2.1002,
2026-09-11,KOSPI,454910,두산로보틱스,READY,1012,기계·장비,-13.0304,-27.4209,
2026-09-11,KOSPI,456040,OCI,READY,1008,화학,-0.2322,-26.1122,
2026-09-11,KOSPI,457190,이수스페셜티케미컬,READY,1008,화학,-4.4052,-20.767,
2026-09-11,KOSPI,475560,더본코리아,READY,1016,유통,5.3854,7.3022,
2026-09-11,KOSPI,483650,달바글로벌,READY,1008,화학,-34.1377,-22.27,
2026-09-11,KOSPI,489790,한화비전,READY,1013,전기전자,-22.4098,-19.0684,
2026-09-11,KOSPI,499790,GS피앤엘,READY,1021,금융,-15.2909,-20.1575,
