ticker,name,source_mode,source_ticker,source_corp_code,source_fs_div,account_id,account_nm,operating_cash_flow_annual,source_status,inheritance_evidence,note
082740,한화엔진,CURRENT_FINANCIAL_CORP_IDENTITY,082740,00361008,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,330318677509.0,READY,,V8.13.2 current-universe official exact OCF
084690,대상홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,084690,00539274,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,242940140469.0,READY,,V8.13.2 current-universe official exact OCF
085310,엔케이,CURRENT_DART_STOCK_CODE_EXACT_NAME,085310,00172228,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-5879438691.0,READY,,V8.13.2 current-universe official exact OCF
086280,현대글로비스,DIRECT_EXACT_IFRS,086280,00360595,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,2500761317215.0,READY,,
089590,제주항공,CURRENT_FINANCIAL_CORP_IDENTITY,089590,00555874,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,6101192256.0,READY,,V8.13.2 current-universe official exact OCF
090350,노루페인트,CURRENT_DART_STOCK_CODE_EXACT_NAME,090350,00583442,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,32671980429.0,READY,,V8.13.2 current-universe official exact OCF
090370,메타랩스,CURRENT_FINANCIAL_CORP_IDENTITY,090370,00442835,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-2496725729.0,READY,,V8.13.2 current-universe official exact OCF
090435,아모레퍼시픽우,PREFERRED_INHERIT_EXACT_COMMON,090430,00583424,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,583839768058.0,READY,PREFERRED_INHERIT_DIRECT_NARROW,V8.13.2 current-universe official exact OCF
091810,트리니티항공,DIRECT_EXACT_IFRS,091810,00671376,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,171062760810.0,READY,,
092440,기신정기,CURRENT_FINANCIAL_CORP_IDENTITY,092440,00106614,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,12954521179.0,READY,,V8.13.2 current-universe official exact OCF
095570,AJ네트웍스,CURRENT_FINANCIAL_CORP_IDENTITY,095570,00365387,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름,75931753000.0,READY,,V8.13.2 current-universe official exact OCF
096770,SK이노베이션,CURRENT_FINANCIAL_CORP_IDENTITY,096770,00631518,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로인한현금흐름,2283052527000.0,READY,,V8.13.2 current-universe official exact OCF
097950,CJ제일제당,DIRECT_EXACT_IFRS,097950,00635134,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,2481608395000.0,READY,,
097955,CJ제일제당 우,PREFERRED_INHERIT_EXACT_COMMON,097950,00635134,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,2481608395000.0,READY,V8.7.0 UNIQUE_COMMON_SHARE_BY_EXACT_NORMALIZED_OFFICIAL_KRX_ISU_NM_STEM,
101140,인바이오젠,CURRENT_DART_STOCK_CODE_EXACT_NAME,101140,00652423,OFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-5554021946.0,READY,,V8.13.2 current-universe official exact OCF
105560,KB금융,DIRECT_EXACT_IFRS,105560,00688996,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,4226378000000.0,READY,,
105630,한세실업,CURRENT_FINANCIAL_CORP_IDENTITY,105630,00728638,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,85379007016.0,READY,,V8.13.2 current-universe official exact OCF
107590,미원홀딩스,CURRENT_FINANCIAL_CORP_IDENTITY,107590,00706715,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,28596186833.0,READY,,V8.13.2 current-universe official exact OCF
108675,LX하우시스우,PREFERRED_INHERIT_EXACT_COMMON,108670,00759513,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,195279000000.0,READY,PREFERRED_INHERIT_DIRECT_NARROW:EXACT_COMMON_NAME,V8.13.2 current-universe official exact OCF
112610,씨에스윈드,CURRENT_FINANCIAL_CORP_IDENTITY,112610,00670340,CFS,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,527705949520.0,READY,,V8.13.2 current-universe official exact OCF
