ticker,name,avg_daily_move_pct,baseline_status,shadow_status,baseline_missing_component_count,shadow_missing_component_count,baseline_missing_components,shadow_missing_components
013870,지엠비코리아,0.6545,LIMITED,LIMITED,2,1,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT
014530,극동유화,0.7828,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
014710,사조씨푸드,1.4001,LIMITED,LIMITED,2,1,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT
014820,동원시스템즈,1.6974,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
017940,E1,0.8898,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
042660,한화오션,1.8939,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
064400,LG씨엔에스,1.8267,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
067830,세이브존I&C,0.7788,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
071950,코아스,3.2475,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;최근 분기 실적 가속·둔화:ANNUAL_OP_DENOM_NONPOSITIVE
075580,세진중공업,1.4396,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:EMPTY_AS_ZERO:NO_EXACT_CANDIDATE
077970,STX엔진,2.6492,LIMITED,LIMITED,3,2,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE
078935,GS우,1.0952,LIMITED,LIMITED,10,9,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;영업이익 성장과 흑자 여부:MISSING_OP_PROFIT;순이익 흐름:MISSING_EARNINGS_TREND;영업이익률:MISSING_MARGIN;ROE:MISSING_ROE;PER:MISSING_PER;PBR:MISSING_PBR_OR_ROE;흑자 지속성과 이익 안정성:MISSING_EARNINGS_TREND;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
084010,대한제강,1.4339,LIMITED,LIMITED,4,3,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;하루평균 절대등락률:MISSING_ELASTICITY;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE,영업현금흐름:MISSING_OCF_MARGIN_INPUT;EV/EBITDA:EV_EBITDA_INPUT:OK:NO_EXACT_CANDIDATE;수급·공시부담:SUPPLY_LIMITED_NO_POSITIVE_EVIDENCE
086790,하나금융지주,1.7540,LIMITED,LIMITED,4,3,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT;하루평균 절대등락률:MISSING_ELASTICITY,매출 성장과 안정성:MISSING_REVENUE_GROWTH_INPUT;최근 3년 매출 성장률:MISSING_3Y_REVENUE;최근 분기 실적 가속·둔화:MISSING_ACCEL_INPUT
