basis_date,market,ticker,name,history_rows,phase_code,phase_ko,bottom_rebound,new_20d_low,swing_trough_date,swing_trough_close,swing_peak_date,swing_peak_close,from_trough_pct,from_peak_pct,momentum_5d_pct,ma20_value,ma20_direction,ma20_slope_5d_pct,confirmed_swing_low_stop,trailing_reference_status,source_metric_contract_version
2026-09-11,KOSPI,002450,삼익악기,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-29,1077.0,2026-06-12,1306.0,5.0139,-13.3997,-2.4159,1132.6,1,0.1415,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,002990,금호건설,260,TOP_DECLINE,고점후하락,False,False,2026-06-11,3700.0,2026-07-09,17310.0,297.5676,-15.0202,-8.5768,15413.0,1,6.1099,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003010,혜인,260,TOP_DECLINE,고점후하락,False,False,2026-07-29,3995.0,2026-08-28,12680.0,136.5457,-25.4732,-11.2676,10411.5,1,5.8133,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003230,삼양식품,260,TOP_DECLINE,고점후하락,False,False,2026-07-20,1053000.0,2026-08-28,1547000.0,21.3675,-17.3885,-9.8095,1390300.0,1,0.5678,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003280,흥아해운,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-29,1529.0,2026-07-23,2035.0,22.8254,-7.715,8.9327,1763.65,1,1.5255,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003350,한국화장품제조,260,UPTREND,상승중,False,False,2026-06-25,7080.0,2026-09-11,15710.0,121.8927,0.0,23.2157,12940.0,1,6.9952,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003490,대한항공,260,UPTREND_PULLBACK,상승중 눌림,False,False,2026-07-30,24650.0,2026-09-07,30350.0,17.4442,-4.6129,-4.1391,27932.5,1,2.8537,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003495,대한항공우,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,20800.0,2026-06-15,23000.0,4.3269,-5.6522,-1.81,21757.5,1,0.4385,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003530,한화투자증권,260,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,False,False,2026-07-30,3675.0,2026-06-17,5930.0,30.2041,-19.3086,-6.1765,4831.5,1,1.5661,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
2026-09-11,KOSPI,003540,대신증권,260,BOTTOM_REBOUND,저점반등,True,False,2026-07-29,23550.0,2026-06-16,31250.0,15.4989,-12.96,2.6415,26597.5,1,0.2167,,REFERENCE_ONLY_NOT_ORDER,2026-09-04-v8.5.0-two-table-indicators-preview
