ticker,name,candidate_source_status,baseline_status,candidate_status,baseline_missing_count,candidate_missing_count,elasticity_missing_before,elasticity_missing_after,baseline_score_total,candidate_score_total,baseline_score_band,candidate_score_band
071050,한국금융지주,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
071840,롯데하이마트,READY,LIMITED,LIMITED,2,2,FALSE,FALSE,,,,
072130,유엔젤,READY,READY,READY,0,0,FALSE,FALSE,68.0,68.0,관찰 후보,관찰 후보
073240,금호타이어,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
079160,CJ CGV,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
079550,LIG디펜스앤에어로스페이스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
082740,한화엔진,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
084690,대상홀딩스,READY,LIMITED,LIMITED,2,1,TRUE,FALSE,,,,
085310,엔케이,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
086280,현대글로비스,READY,LIMITED,LIMITED,2,2,FALSE,FALSE,,,,
089590,제주항공,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
090350,노루페인트,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
090370,메타랩스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
090435,아모레퍼시픽우,READY,LIMITED,LIMITED,15,14,TRUE,FALSE,,,,
091810,트리니티항공,READY,LIMITED,LIMITED,18,18,FALSE,FALSE,,,,
092440,기신정기,READY,LIMITED,LIMITED,5,4,TRUE,FALSE,,,,
095570,AJ네트웍스,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
096770,SK이노베이션,READY,LIMITED,LIMITED,4,3,TRUE,FALSE,,,,
097950,CJ제일제당,READY,LIMITED,LIMITED,1,1,FALSE,FALSE,,,,
097955,CJ제일제당 우,READY,LIMITED,LIMITED,13,13,FALSE,FALSE,,,,
101140,인바이오젠,READY,LIMITED,LIMITED,17,16,TRUE,FALSE,,,,
105560,KB금융,READY,READY,READY,0,0,FALSE,FALSE,70.0,70.0,관찰 후보,관찰 후보
105630,한세실업,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
107590,미원홀딩스,READY,LIMITED,READY,1,0,TRUE,FALSE,,72.0,,관찰 후보
108675,LX하우시스우,READY,LIMITED,LIMITED,18,17,TRUE,FALSE,,,,
112610,씨에스윈드,READY,LIMITED,LIMITED,3,2,TRUE,FALSE,,,,
