date,market,proxy_daily_return_pct,proxy_index_close
2026-02-04,KOSPI,1.5292,1371.83
2026-02-05,KOSPI,-3.8952,1318.4
2026-02-06,KOSPI,-1.4268,1299.59
2026-02-09,KOSPI,4.048,1352.19
2026-02-10,KOSPI,0.0518,1352.9
2026-02-11,KOSPI,1.0221,1366.72
2026-02-12,KOSPI,3.173,1410.09
2026-02-13,KOSPI,-0.1635,1407.78
2026-02-19,KOSPI,3.1382,1451.96
2026-02-20,KOSPI,2.294,1485.27
2026-02-23,KOSPI,0.6299,1494.63
2026-02-24,KOSPI,2.1305,1526.47
2026-02-25,KOSPI,1.9178,1555.74
2026-02-26,KOSPI,3.6853,1613.08
2026-02-27,KOSPI,-1.0348,1596.39
2026-03-03,KOSPI,-7.3142,1479.62
2026-03-04,KOSPI,-12.039,1301.49
2026-03-05,KOSPI,9.688,1427.58
2026-03-06,KOSPI,0.0221,1427.9
2026-03-09,KOSPI,-5.9493,1342.95
2026-03-10,KOSPI,5.4567,1416.23
2026-03-11,KOSPI,1.445,1436.69
2026-03-12,KOSPI,-0.5473,1428.83
2026-03-13,KOSPI,-1.6774,1404.86
2026-03-16,KOSPI,1.1892,1421.57
2026-03-17,KOSPI,1.6406,1444.89
2026-03-18,KOSPI,5.0586,1517.98
2026-03-19,KOSPI,-2.7498,1476.24
2026-03-20,KOSPI,0.2069,1479.29
2026-03-23,KOSPI,-6.4747,1383.51
2026-03-24,KOSPI,2.7324,1421.32
2026-03-25,KOSPI,1.5385,1443.18
2026-03-26,KOSPI,-3.2768,1395.89
2026-03-27,KOSPI,-0.3789,1390.6
2026-03-30,KOSPI,-2.9998,1348.89
2026-03-31,KOSPI,-4.2986,1290.91
2026-04-01,KOSPI,8.5039,1400.68
2026-04-02,KOSPI,-4.5153,1337.44
2026-04-03,KOSPI,2.7777,1374.59
2026-04-06,KOSPI,1.4121,1394.0
2026-04-07,KOSPI,0.8288,1405.55
2026-04-08,KOSPI,6.8559,1501.92
2026-04-09,KOSPI,-1.6031,1477.84
2026-04-10,KOSPI,1.3914,1498.4
2026-04-13,KOSPI,-1.3255,1478.54
2026-04-14,KOSPI,2.7312,1518.92
2026-04-15,KOSPI,2.0409,1549.92
2026-04-16,KOSPI,2.2284,1584.46
2026-04-17,KOSPI,-0.5586,1575.61
2026-04-20,KOSPI,0.4266,1582.33
2026-04-21,KOSPI,2.7356,1625.62
2026-04-22,KOSPI,0.4673,1633.21
2026-04-23,KOSPI,0.9327,1648.45
2026-04-24,KOSPI,-0.0409,1647.77
2026-04-27,KOSPI,2.2335,1684.57
2026-04-28,KOSPI,0.3973,1691.27
2026-04-29,KOSPI,0.7864,1704.57
2026-04-30,KOSPI,-1.4074,1680.58
2026-05-04,KOSPI,5.183,1767.68
2026-05-06,KOSPI,6.6035,1884.41
2026-05-07,KOSPI,1.335,1909.57
2026-05-08,KOSPI,0.1145,1911.75
2026-05-11,KOSPI,4.3872,1995.63
2026-05-12,KOSPI,-2.3349,1949.03
2026-05-13,KOSPI,2.6032,1999.77
2026-05-14,KOSPI,1.7613,2034.99
2026-05-15,KOSPI,-6.0127,1912.63
2026-05-18,KOSPI,0.3713,1919.73
2026-05-19,KOSPI,-3.241,1857.51
2026-05-20,KOSPI,-0.8569,1841.6
2026-05-21,KOSPI,8.3625,1995.6
2026-05-22,KOSPI,0.3932,2003.45
2026-05-26,KOSPI,2.4922,2053.38
2026-05-27,KOSPI,2.2503,2099.58
2026-05-28,KOSPI,-0.5256,2088.55
2026-05-29,KOSPI,3.621,2164.18
2026-06-01,KOSPI,3.9336,2249.31
2026-06-02,KOSPI,0.1592,2252.89
2026-06-04,KOSPI,-1.9637,2208.65
2026-06-05,KOSPI,-5.4962,2087.26
2026-06-08,KOSPI,-8.2939,1914.14
2026-06-09,KOSPI,8.1044,2069.27
2026-06-10,KOSPI,-4.5552,1975.01
2026-06-11,KOSPI,0.435,1983.6
2026-06-12,KOSPI,4.6809,2076.45
2026-06-15,KOSPI,5.1786,2183.98
2026-06-16,KOSPI,2.1429,2230.78
2026-06-17,KOSPI,1.5532,2265.43
2026-06-18,KOSPI,2.2116,2315.53
2026-06-19,KOSPI,-0.1842,2311.27
2026-06-22,KOSPI,0.6946,2327.32
2026-06-23,KOSPI,-9.9765,2095.14
2026-06-24,KOSPI,3.2846,2163.96
2026-06-25,KOSPI,5.5282,2283.58
2026-06-26,KOSPI,-5.8188,2150.71
2026-06-29,KOSPI,-0.3211,2143.8
2026-06-30,KOSPI,0.9425,2164.01
