ticker,name,market,target_year,fs_div,source_layer,source_status,depreciation_value,amortisation_value,da_total,approved_exact_fact_count,both_exact_facts_present,evidence_ref
004910,조광페인트,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,7120050000.0,607620000.0,7727670000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
005490,POSCO홀딩스,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,3693287446560.0,465934606199.0,4159222052759.0,2,TRUE,latest/investment_score_source_cache_latest.csv
005500,삼진제약,KOSPI,2025,OFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,19603446000.0,217000000.0,19820446000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
005820,원림,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,1791367412.0,,1791367412.0,1,FALSE,latest/investment_score_source_cache_latest.csv
005930,삼성전자,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,43605740000000.0,3320852000000.0,46926592000000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
006650,대한유화,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,166386453000.0,3182096000.0,169568549000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
008770,호텔신라,KOSPI,2025,CFS,V883_EXISTING_EXACT_RAW,READY_EXACT_DA_SOURCE,50741448215.0,7283708690.0,58025156905.0,2,TRUE,latest/investment_score_source_cache_latest.csv
009200,무림페이퍼,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,73958289000.0,797770000.0,74756059000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
009420,한올바이오파마,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,2135132000.0,374137000.0,2509269000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
010130,고려아연,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,326343186000.0,11554447000.0,337897633000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
012160,영흥,KOSPI,2025,CFS,V887_XBRL_BOTH_UNIQUE_EXACT,READY_EXACT_DA_SOURCE,11069124000.0,1479194000.0,12548318000.0,2,TRUE,latest/investment_score_xbrl_cfs_ofs_v887.csv
