date,indicator_code,indicator_name,value,unit,frequency,source,source_url
2022-08-24,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19418526.752429,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-25,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19305035.596485,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-26,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19300068.97161,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-29,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19338099.829011,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-30,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19397498.224438,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-08-31,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19346494.716242,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-01,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19387811.575853,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-02,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19428052.351541,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-05,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19504650.140488,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-06,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19458228.597799,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-07,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19294761.022394,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-08,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19262269.136295,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-13,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19272864.336327,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-14,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19202948.114146,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-15,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19077041.909061,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-16,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19188604.315938,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-19,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19295045.569813,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-20,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19258952.318237,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-21,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,19046770.067386,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-22,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18913447.942333,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
2022-09-23,KOFIA_CREDIT_FINANCING_MILLION_KRW,신용융자 전체 잔고,18892818.435941,million KRW,daily,data.go.kr KOFIA local normalized CSV,getGrantingOfCreditBalanceInfo
