basis_date,market,ticker,name,official_close,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_52w_pct,swing_phase,swing_phase_ko,swing_trough_date,swing_peak_date,from_trough_pct,from_peak_pct,momentum_5d_pct,ma5_direction,ma20_direction,ma60_direction,ma120_direction,mean_run_days,streak_direction,streak_days,streak_change_pct,rs_kospi_1m_pp,rs_kospi_3m_pp,sector_benchmark_ticker,sector_benchmark_name,rs_sector_1m_pp,rs_sector_3m_pp,atr14_pct,avg_daily_range_20_pct,ma20_reference,confirmed_swing_low_stop,rsi,macd,investment_score_100,earnings_outlook_change
2026-09-11,KOSPI,003550,LG,112500.0,,3.8781,4.6512,20.5788,,,TOP_DECLINE,고점후하락,2026-07-29,2026-09-07,22.0174,-9.6386,-7.1016,-1,1,1,1,1.935483870967742,-1,2,-5.5416,-5.016,15.6513,1021,금융,-2.0734,6.1472,4.7133,4.3465,116145.0,,,,,
2026-09-11,KOSPI,003580,HLB글로벌,1631.0,,0.6169,11.7889,-16.144,,,UPTREND_PULLBACK,상승중 눌림,2026-07-13,2026-09-04,49.633,-6.1025,-6.1025,1,1,1,-1,2.857142857142857,-1,5,-6.1025,-8.2772,22.789,1016,유통,-1.242,24.9514,5.5598,4.958,1611.4,,,,,
2026-09-11,KOSPI,003670,포스코퓨처엠,185300.0,,18.1007,0.3249,-11.9715,,,BOTTOM_REBOUND,저점반등,2026-07-29,2026-06-15,51.7609,-11.9715,0.9259,-1,1,-1,-1,2.0689655172413794,-1,1,-3.9896,9.2066,11.325,1013,전기전자,3.1419,14.1157,5.9478,5.6108,177795.0,,,,,
2026-09-11,KOSPI,004170,신세계,381000.0,,-11.0852,-46.6387,11.4035,,,SIDEWAYS_OR_UNCONFIRMED,횡보·방향미확인,2026-09-03,2026-07-01,0.3953,-50.9021,-0.3922,-1,-1,-1,1,1.935483870967742,-1,3,-5.8096,-19.9793,-35.6386,1016,유통,-12.9441,-33.4762,7.1353,5.1916,403225.0,,,,,
2026-09-11,KOSPI,004310,현대약품,9820.0,,53.4375,71.3787,3.4773,,,UPTREND,상승중,2026-07-08,2026-09-08,116.777,-5.9387,23.522,1,1,1,1,2.0689655172413794,1,1,0.5118,44.5434,82.3788,1009,제약,64.5855,64.3287,9.8369,10.9312,7355.5,,,,,
2026-09-11,KOSPI,004370,농심,414500.0,,4.804,10.5333,5.203,,,TOP_DECLINE,고점후하락,2026-06-26,2026-08-26,25.7967,-9.695,-3.6047,-1,1,1,1,2.142857142857143,1,1,0.4848,-4.0901,21.5334,1005,음식료·담배,7.0347,11.8423,4.0574,4.6853,433100.0,,,,,
2026-09-11,KOSPI,004490,세방전지,61600.0,,9.8039,18.2342,-0.6452,,,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-08-31,29.1405,-9.6774,-4.3478,-1,1,1,1,1.935483870967742,-1,2,-4.3478,0.9098,29.2343,1013,전기전자,-5.1549,32.025,5.8116,5.8056,61345.0,,,,,
2026-09-11,KOSPI,004545,깨끗한나라우,3905.0,,-14.1758,-55.5745,-62.703,,,NEW_LOW,최근 신저점,2026-09-11,2026-06-22,0.0,-60.1531,-7.0238,-1,-1,-1,-1,1.875,-1,4,-7.0238,-23.0699,-44.5744,1007,종이·목재,-14.9213,-58.8178,,,4342.5,,,,,
2026-09-11,KOSPI,004710,한솔테크닉스,8850.0,,12.5954,-23.3102,60.6171,,,BOTTOM_REBOUND,저점반등,2026-07-30,2026-06-22,56.9149,-42.7555,4.6099,1,1,-1,1,1.875,1,1,1.7241,3.7013,-12.3101,1013,전기전자,-2.3634,-9.5194,8.0503,7.3678,7691.0,,,,,
2026-09-11,KOSPI,004770,써니전자,2125.0,,22.9034,29.1009,35.6094,,,UPTREND_PULLBACK,상승중 눌림,2026-07-29,2026-09-01,39.9868,-10.5263,-2.746,-1,1,1,1,2.2222222222222223,-1,2,-5.9735,14.0093,40.101,1013,전기전자,7.9446,42.8917,9.8977,10.2358,1961.05,,,,,
