date,Adj Close,Close,High,Low,Open,Volume,name,ticker,country,source_used,시가,고가,저가,종가,거래량,등락률
2026-04-29,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,149300.0,160300.0,148600.0,152600.0,620447.0,-1.3574660633484164
2026-04-30,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,156600.0,163900.0,152500.0,158500.0,580177.0,3.866317169069463
2026-05-04,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,168100.0,168900.0,156100.0,161700.0,566598.0,2.018927444794953
2026-05-06,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,160100.0,165000.0,154000.0,162000.0,1256629.0,0.1855287569573284
2026-05-07,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,162000.0,162000.0,147600.0,157500.0,783546.0,-2.7777777777777777
2026-05-08,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,157000.0,168500.0,153600.0,168100.0,913243.0,6.730158730158731
2026-05-11,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,167100.0,199600.0,167100.0,186700.0,1307405.0,11.06484235574063
2026-05-12,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,184200.0,184200.0,162100.0,165800.0,1162235.0,-11.194429566148902
2026-05-13,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,160500.0,185600.0,160000.0,185600.0,958991.0,11.942098914354645
2026-05-14,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,180500.0,187300.0,178500.0,182800.0,460860.0,-1.5086206896551724
2026-05-15,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,181000.0,184000.0,162100.0,163500.0,841608.0,-10.557986870897155
2026-05-18,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,165100.0,174600.0,156800.0,170900.0,726476.0,4.525993883792049
2026-05-19,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,169800.0,174600.0,157300.0,157300.0,385107.0,-7.957870099473376
2026-05-20,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,158500.0,162000.0,145600.0,162000.0,525288.0,2.9879211697393515
2026-05-21,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,168000.0,181000.0,164000.0,181000.0,500249.0,11.728395061728394
2026-05-22,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,178800.0,186300.0,173400.0,181100.0,401970.0,0.05524861878453039
2026-05-26,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,191400.0,224500.0,191400.0,220500.0,1280645.0,21.75593594699061
2026-05-27,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,228500.0,230500.0,200000.0,202000.0,1134393.0,-8.390022675736962
2026-05-28,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,203000.0,203000.0,185000.0,194300.0,574706.0,-3.8118811881188117
2026-05-29,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,197100.0,202000.0,180500.0,185500.0,1008623.0,-4.5290787442099845
2026-06-01,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,182400.0,192700.0,180000.0,181400.0,768369.0,-2.2102425876010785
2026-06-02,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,182500.0,183000.0,165600.0,170100.0,611599.0,-6.229327453142227
2026-06-04,,,,,,,DB하이텍,000990,KR,pykrx_adjusted,174000.0,183800.0,168000.0,176400.0,795465.0,3.7037037037037033
2026-03-04,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,920000.0,959000.0,853000.0,871000.0,273582.0,-11.752786220871327
2026-03-05,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,985000.0,1007000.0,962000.0,984000.0,220416.0,12.973593570608497
2026-03-06,,,,,,,HD현대일렉트릭,267260,KR,pykrx_adjusted,957000.0,990000.0,941000.0,968000.0,208388.0,-1.6260162601626018
