basis_date,market,ticker,name,return_1w_pct,return_1w_start_date,return_1w_status,return_6m_pct,return_6m_start_date,return_6m_status,return_ytd_pct,return_ytd_start_date,return_ytd_status,return_52w_pct,return_52w_start_date,return_52w_status
2026-09-11,KOSPI,005830,DB손해보험,-2.0439,2026-09-04,OK,4.6397,2026-03-11,OK,46.2243,2025-12-30,OK,32.2069,2025-09-12,OK
2026-09-11,KOSPI,005930,삼성전자,1.5656,2026-09-04,OK,36.5789,2026-03-11,OK,116.4304,2025-12-30,OK,244.1645,2025-09-12,OK
2026-09-11,KOSPI,005935,삼성전자우,0.8873,2026-09-04,OK,39.1649,2026-03-11,OK,116.704,2025-12-30,OK,217.4056,2025-09-12,OK
2026-09-11,KOSPI,006110,삼아알미늄,-12.9549,2026-09-04,OK,101.6863,2026-03-11,OK,151.2605,2025-12-30,OK,160.0,2025-09-12,OK
2026-09-11,KOSPI,006220,제주은행,2.7805,2026-09-04,OK,-25.1085,2026-03-11,OK,-8.0,2025-12-30,OK,-28.025,2025-09-12,OK
2026-09-11,KOSPI,006260,LS,6.6778,2026-09-04,OK,26.5347,2026-03-11,OK,59.8299,2025-12-30,OK,74.9726,2025-09-12,OK
2026-09-11,KOSPI,006360,GS건설,12.4088,2026-09-04,OK,80.3279,2026-03-11,OK,95.4315,2025-12-30,OK,98.1472,2025-09-12,OK
2026-09-11,KOSPI,006370,대구백화점,-10.6145,2026-09-04,OK,-29.9014,2026-03-11,OK,-41.9238,2025-12-30,OK,-54.2857,2025-09-12,OK
2026-09-11,KOSPI,006380,카프로,-96.7213,2026-09-04,OK,-96.7213,2026-03-11,OK,-96.7213,2025-12-30,OK,-96.7213,2025-09-12,OK
2026-09-11,KOSPI,006400,삼성SDI,-0.5474,2026-09-04,OK,36.25,2026-03-11,OK,102.2263,2025-12-30,OK,167.1569,2025-09-12,OK
2026-09-11,KOSPI,006490,프리티,166.147,2026-09-04,OK,403.1579,2026-03-11,OK,277.5671,2025-12-30,OK,200.2513,2025-09-12,OK
2026-09-11,KOSPI,006650,대한유화,5.6877,2026-09-04,OK,-23.6173,2026-03-11,OK,-29.4199,2025-12-30,OK,-14.1898,2025-09-12,OK
2026-09-11,KOSPI,006800,미래에셋증권,-2.9028,2026-09-04,OK,-53.1513,2026-03-11,OK,43.2548,2025-12-30,OK,51.3575,2025-09-12,OK
2026-09-11,KOSDAQ,007390,네이처셀,4.8017,2026-09-04,OK,34.3683,2026-03-11,OK,15.1376,2025-12-30,OK,3.0801,2025-09-12,OK
2026-09-11,KOSPI,007660,이수페타시스,-1.0801,2026-09-04,OK,-0.0909,2026-03-11,OK,-7.802,2025-12-30,OK,52.8512,2025-09-12,OK
2026-09-11,KOSPI,007810,코리아써키트,0.1961,2026-09-04,OK,-3.9474,2026-03-11,OK,5.7971,2025-12-30,OK,193.5095,2025-09-12,OK
2026-09-11,KOSPI,008060,대덕,0.1377,2026-09-04,OK,16.5998,2026-03-11,OK,38.873,2025-12-30,OK,74.3405,2025-09-12,OK
2026-09-11,KOSPI,008770,호텔신라,-2.6066,2026-09-04,OK,-4.6404,2026-03-11,OK,-7.8475,2025-12-30,OK,-19.2534,2025-09-12,OK
2026-09-11,KOSPI,008930,한미사이언스,-4.7348,2026-09-04,OK,32.1945,2026-03-11,OK,38.7586,2025-12-30,OK,28.1529,2025-09-12,OK
2026-09-11,KOSPI,009150,삼성전기,-0.0714,2026-09-04,OK,244.8276,2026-03-11,OK,449.0196,2025-12-30,OK,635.2941,2025-09-12,OK
2026-09-11,KOSPI,009200,무림페이퍼,-1.8482,2026-09-04,OK,-23.4689,2026-03-11,OK,-26.0199,2025-12-30,OK,-27.6399,2025-09-12,OK
2026-09-11,KOSPI,009420,한올바이오파마,-8.4095,2026-09-04,OK,-12.7178,2026-03-11,OK,14.5143,2025-12-30,OK,47.3529,2025-09-12,OK
2026-09-11,KOSPI,009540,HD한국조선해양,4.878,2026-09-04,OK,-12.9762,2026-03-11,OK,-10.1966,2025-12-30,OK,-12.2449,2025-09-12,OK
2026-09-11,KOSPI,010120,LS ELECTRIC,4.7107,2026-09-04,OK,-71.6759,2026-03-11,OK,-55.5435,2025-12-30,OK,-35.2848,2025-09-12,OK
2026-09-11,KOSPI,010130,고려아연,-3.5188,2026-09-04,OK,-29.2317,2026-03-11,OK,-10.4103,2025-12-30,OK,13.1478,2025-09-12,OK
2026-09-11,KOSPI,010140,삼성중공업,0.0,2026-09-04,OK,-25.6944,2026-03-11,OK,-11.2033,2025-12-30,OK,-2.7273,2025-09-12,OK
2026-09-11,KOSDAQ,010170,대한광통신,8.7625,2026-09-04,OK,97.6257,2026-03-11,OK,535.9551,2025-12-30,OK,756.0194,2025-09-12,OK
