ticker,name,supply_check_status,supply_check_scope,supply_check_limited_reason,supply_burden_detected,supply_burden_flag,supply_burden_level,supply_burden_keywords,supply_burden_latest_report_date,supply_burden_latest_report_name,supply_burden_report_count,source_files,supply_burden_checked_at_kst
030610,교보증권,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,"kospi_monthly_cycle_latest.csv,kospi_universe_summary_latest.csv",2026-07-08T10:06:24+09:00
030720,동원수산,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260604,임원ㆍ주요주주특정증권등소유상황보고서,5,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
030960,양지사,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031210,서울보증보험,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031310,아이즈비전,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,전환청구",20260706,주식등의대량보유상황보고서(일반),7,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031330,에스에이엠티,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260528,주식등의대량보유상황보고서(일반),2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031430,신세계인터내셔날,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031440,신세계푸드,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031510,오스템,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260629,주식등의대량보유상황보고서(일반),2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031820,아이티센씨티에스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,FALSE,FALSE,없음,,,,0,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031860,디에이치엑스컴퍼니,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유,상장폐지위험,유상증자,주요주주변동",20260619,주요사항보고서(자기전환사채만기전취득결정),7,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
031980,피에스케이홀딩스,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260611,주식등의대량보유상황보고서(일반),5,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032080,아즈텍WB,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260706,임원ㆍ주요주주특정증권등소유상황보고서,11,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032190,다우데이타,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"대량보유,최대주주변경",20260527,주식등의대량보유상황보고서(일반),3,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032280,삼일,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,주의,"대량보유,주요주주변동",20260703,임원ㆍ주요주주특정증권등소유상황보고서,2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032300,한국파마,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,CB발행,대량보유",20260528,주식등의대량보유상황보고서(일반),4,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032350,롯데관광개발,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260703,주식등의대량보유상황보고서(일반),16,kospi_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032500,케이엠더블유,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,위험,"CB,전환청구",20260410,전환청구권행사              ,2,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
032540,TJ미디어,LIMITED,DART 최근 90일 공시 제목 기준,DART_WHOLE_MARKET_LOOKBACK_CAPPED_90D_FROM_180D,TRUE,TRUE,경계,"대량보유,주요주주변동",20260526,임원ㆍ주요주주특정증권등소유상황보고서,8,kosdaq_universe_summary_latest.csv,2026-07-08T10:06:24+09:00
