ticker,name,market,production_table,single_blocker_ticker,supply_status,supply_level,supply_classification,analysis_top_level_keys_json,candidate_completeness_paths_json,analysis_flat_json
066575,LG전자우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""76300~80600"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""65200~70400""}"
071840,롯데하이마트,KOSPI,decliners,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""6430~6620"",""legacy_score_not_100_scale"":null,""operating_profit"":""-13861827432"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""6060~6180""}"
081000,일진다이아,KOSPI,decliners24,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""10250~10680"",""legacy_score_not_100_scale"":null,""operating_profit"":""7483448061"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""9340~9820""}"
086280,현대글로비스,KOSPI,kospi,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":""흑자지속"",""first_sell_target_range"":""215,500원~222,000원"",""legacy_score_not_100_scale"":132.0,""operating_profit"":""1.02조원"",""pbr"":1.42,""per"":10.9,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""195,300원~206,500원""}"
088980,맥쿼리인프라,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""10080~10390"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""9570~9690""}"
097955,CJ제일제당 우,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""124000~127700"",""legacy_score_not_100_scale"":null,""operating_profit"":"""",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""117300~119200""}"
100250,진양홀딩스,KOSPI,decliners,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""3230~3325"",""legacy_score_not_100_scale"":null,""operating_profit"":""4469192058"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""3070~3105""}"
241590,화승엔터프라이즈,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""2955~3055"",""legacy_score_not_100_scale"":null,""operating_profit"":""2441546995"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""2780~2805""}"
271940,일진하이솔루스,KOSPI,decliners24,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""11730~12360"",""legacy_score_not_100_scale"":null,""operating_profit"":""-2677735859"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""10080~10850""}"
271980,제일약품,KOSPI,decliners,FALSE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""10550~10920"",""legacy_score_not_100_scale"":null,""operating_profit"":""-6626613727"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""9590~10000""}"
286940,롯데이노베이트,KOSPI,decliners,TRUE,LIMITED,없음,LIMITED_NO_POSITIVE_EVIDENCE,"[""basis_date"",""earnings_trend"",""first_sell_target_range"",""legacy_score_not_100_scale"",""operating_profit"",""pbr"",""per"",""supply_keywords"",""supply_level"",""supply_status"",""value_buy_range""]","[""supply_status""]","{""basis_date"":""2026-09-11"",""earnings_trend"":null,""first_sell_target_range"":""18810~19420"",""legacy_score_not_100_scale"":null,""operating_profit"":""22113861304"",""pbr"":null,""per"":null,""supply_keywords"":"""",""supply_level"":""없음"",""supply_status"":""LIMITED"",""value_buy_range"":""17220~17890""}"
