ticker,종목,corp_code,rcept_no,report_nm,rcept_dt,report_status,document_status,sector_proxy,export_mentions,fx_asset_mentions,fx_liab_mentions,hedge_mentions,import_mentions,order_mentions,sensitivity_mentions,overseas_revenue_pct,hedge_pct_proxy,text_length,공시신뢰도,confidence_reason,dollar_sales_score,won_cost_score,hedge_score,foreign_debt_score,import_cost_score,earnings_score,technical_score,risk_score,backlog_bonus,sensitivity_bonus,fx_net_benefit_score
011150,CJ씨푸드,00129013,20260323001443,사업보고서 (2025.12),20260323,OK,OK,기타,25,91,18,131,929,3,52,100.0,27.0,302120,A,주석에서 환율노출 관련 수치 다수 확인,25.0,6.0,10.95,7.0,3.0,3.0,8.0,5.0,1.2,5.0,74.15
011155,CJ씨푸드1우,,,,,NO_CORP_CODE,OK,기타,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,6.25,6.0,11.0,8.0,5.5,8.0,8.0,5.0,0.0,0.0,57.75
001045,CJ우,,,,,NO_CORP_CODE,OK,기타,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,6.25,6.0,11.0,8.0,5.5,8.0,8.0,5.0,0.0,0.0,57.75
097950,CJ제일제당,00635134,20260316001116,사업보고서 (2025.12),20260316,OK,OK,K푸드,338,178,7,806,3253,27,138,10.0,,1017002,B,주석 수치 일부와 환율노출 키워드 확인,2.5,6.75,8.0,7.0,2.5,8.0,8.0,5.0,5.0,5.0,57.75
097955,CJ제일제당 우,,,,,NO_CORP_CODE,OK,K푸드,0,0,0,0,0,0,0,,,0,D,DART 고유번호 매칭 실패,13.75,6.75,11.0,8.0,5.0,8.0,8.0,5.0,0.0,0.0,65.5
000480,CR홀딩스,00148984,20260319000043,사업보고서 (2025.12),20260319,OK,OK,기타,75,125,14,337,2784,10,109,100.0,,514891,B,주석 수치 일부와 환율노출 키워드 확인,25.0,6.0,8.0,7.0,3.0,8.0,8.0,5.0,4.0,5.0,79.0
000590,CS홀딩스,00149026,20260323001033,사업보고서 (2025.12),20260323,OK,OK,기타,17,99,8,48,971,0,60,,,311778,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,10.0,5.0,0.0,5.0,58.25
012030,DB,00163345,20260323001119,사업보고서 (2025.12),20260323,OK,OK,기타,56,222,30,668,1766,55,54,10.0,,534079,B,주석 수치 일부와 환율노출 키워드 확인,2.5,6.0,8.0,7.0,3.0,8.0,10.0,5.0,5.0,5.0,59.5
005830,DB손해보험,00159102,20260331003904,[기재정정]사업보고서 (2025.12),20260331,OK,OK,기타,78,77,1,1034,2343,10,87,17.5,,783307,B,주석 수치 일부와 환율노출 키워드 확인,4.38,6.0,8.0,7.0,3.0,8.0,10.0,5.0,4.0,5.0,60.38
016610,DB증권,00115694,20260318000876,사업보고서 (2025.12),20260318,OK,OK,기타,10,44,8,795,2574,19,49,1.5,,820369,B,주석 수치 일부와 환율노출 키워드 확인,0.38,6.0,8.0,7.0,3.0,8.0,8.0,5.0,5.0,5.0,55.38
000990,DB하이텍,01948220,20260309001206,사업보고서 (2025.12),20260309,OK,OK,기타,7,15,0,14,257,0,2,80.0,,99731,B,주석 수치 일부와 환율노출 키워드 확인,20.0,6.0,8.0,8.0,3.0,3.0,7.0,5.0,0.0,1.0,61.0
000300,DH오토넥스,01885222,20260507000565,사업보고서 (2026.02),20260507,OK,OK,기타,0,0,0,37,805,0,0,,,150106,C,보고서 텍스트 단서와 산업 프록시 중심,6.25,6.0,8.0,8.0,3.0,8.0,5.0,5.0,0.0,0.0,49.25
001530,DI동일,00118345,20260323001456,[첨부정정]사업보고서 (2025.12),20260323,OK,OK,기타,0,0,0,0,0,0,0,,,18,D,환율노출 공시 단서 부족,6.25,6.0,11.0,8.0,5.5,8.0,10.0,5.0,0.0,0.0,59.75
015590,DKME,00108746,20260528000864,[기재정정]사업보고서 (2025.12),20260528,OK,OK,기타,65,143,4,178,1441,42,58,,,314388,B,주석 수치 일부와 환율노출 키워드 확인,6.25,6.0,8.0,7.0,3.0,8.0,7.0,2.0,5.0,5.0,57.25
000210,DL,00109693,20260318000970,사업보고서 (2025.12),20260318,OK,OK,기타,194,145,42,906,3368,18,122,66.0,3.88,806768,A,주석에서 환율노출 관련 수치 다수 확인,16.5,6.0,14.42,7.0,3.0,8.0,10.0,5.0,5.0,5.0,79.92
